id_jogo,time_casa,time_fora,data_jogo,vencedor,rodada,pb_vitoria_casa,pb_empate,pb_derrota_casa,num_apostas,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,id_time_fora,id_time_casa,id_aposta,palpite,valor,multiplicador_aposta,lucro
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,1,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,2,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,3,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,4,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,5,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,6,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,7,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,8,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,9,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,10,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,11,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,12,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,13,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,14,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,15,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,16,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,17,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,18,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,19,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,20,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,21,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,22,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,23,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,24,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,25,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,26,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,27,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,28,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,29,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,30,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,31,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,32,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,33,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,34,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,35,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,36,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,37,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,38,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,39,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,40,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,41,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,42,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,43,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,44,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,45,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,46,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,47,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,48,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,49,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,50,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,51,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,52,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,53,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,54,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,55,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,56,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,57,Fortaleza,200.0,1.81,362.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1.81,3.5,4.4,20,10,58,Fortaleza,200.0,1.81,362.0
