id_jogo,time_casa,time_fora,data_jogo,vencedor,rodada,pb_vitoria_casa,pb_empate,pb_derrota_casa,num_apostas,id_aposta,palpite,valor
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,1,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,2,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,3,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,4,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,5,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,6,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,7,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,8,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,9,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,10,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,11,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,12,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,13,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,14,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,15,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,16,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,17,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,18,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,19,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,20,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,21,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,22,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,23,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,24,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,25,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,26,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,27,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,28,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,29,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,30,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,31,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,32,Fortaleza,200.0
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282,33,Fortaleza,200.0
